descripcion;precio;precioVenta;fechaCompra;stock
Esmaltes Vitú;4650;5500;2022-12-12;5 
Rubor Samy;19990;23000;2022-12-12;3 
Lápiz cejas;6990;8000;2022-12-12;3 
Lápiz cejas café oscuro;5592;6500;2022-12-12;1 
Loción corporal Vitú;9990;15000;2022-12-12;2 
Frunas pinta lengua;175;300;2022-12-12;24 
Cinta aislante;1000;1200;2022-12-12;1 
Pulseras Rombo varios colores;2000;4000;2022-12-12;6 
Pulseras de Perlas;4000;8000;2022-12-12;6 
Arete Borla;5000;8000;2022-12-12;1 
Arete hilo y Rombos de colores;5000;8000;2022-12-12;1 
Arete Cristales Plateados;5000;8000;2022-12-12;1 
Gancho pequeño;4000;8000;2022-12-12;1 
Gancho grande;4000;10000;2022-12-12;1 
Collar Canutillo Picado + Aretes;9000;15000;2022-12-12;1 
Collar Plastimetal + Aretes;9000;15000;2022-12-12;1 
Aretes de Perlas;6500;10000;2022-12-12;2 
Arete Gato;0;5000;2022-12-12;1 
Batería bengala AA 15 V;2500;3500;2022-12-12;6 
Bisturí (Exacto);3000;4000;2022-12-12;3 
Almohadilla dactilar (Huellero);4000;5000;2022-12-12;3 
Juego geométrico pequeño;2000;3000;2022-12-12;3 
Juego geométrico grande;6500;7500;2022-12-12;1 
Corrector liquido lápiz Berol;2500;3500;2022-12-12;1 
Corrector liquido lápiz Kores;4900;5500;2022-12-12;2 
Gancho legajador caja;3000;5000;2022-12-12;2 
Gancho legajador por unidad;187;250;2022-12-12;40 
Sacapuntas 2 orificios;2500;3200;2022-12-12;3 
Clip para papel caja;2000;3000;2022-12-12;3 
Clip por unidad;21;100;2022-12-12;283 
Bandas de caucho;600;1200;2022-12-12;3 
Marcador permanente;2000;2500;2022-12-12;6 
Bolígrafo kilométrico retráctil;1000;1500;2022-12-12;2 
Bolígrafo eterna retráctil;1500;2000;2022-12-12;6 
Silicona liquida pequeña;2500;3500;2022-12-12;3 
Silicona liquida mediana;3700;4700;2022-12-12;3 
Cinta metalizada ancha por metro;450;500;2022-12-12;3 
Cinta metalizada;9500;10500;2022-12-12;3 
Cinta solida delgada por metro;100;200;2022-12-12;3 
Cinta solida;4000;5000;2022-12-12;3 
Pegante en barra;4000;5000;2022-12-12;3 
Papel celofán;1000;1500;2022-12-12;12 
